Conductivity,Weight,Temperature1,Temperature2,Temperature3,Temperature4,Year,Month,Day,Hour,Minute,Second
525.51,2.0,22.43,22.54,22.47,22.17,2019,4,19,14,34,3
530.21,2.0,22.47,22.54,22.44,22.17,2019,4,19,14,34,8
530.21,2.0,22.43,22.57,22.40,22.17,2019,4,19,14,34,13
520.82,2.0,22.47,22.54,22.44,22.17,2019,4,19,14,34,18
530.21,2.0,22.43,22.57,22.44,22.14,2019,4,19,14,34,23
530.21,2.0,22.47,22.54,22.47,22.17,2019,4,19,14,34,28
525.51,2.0,22.43,22.54,22.44,22.17,2019,4,19,14,34,33
530.21,2.0,22.43,22.54,22.44,22.14,2019,4,19,14,34,38
520.82,2.0,22.47,22.54,22.47,22.17,2019,4,19,14,34,43
520.82,2.0,22.47,22.57,22.44,22.20,2019,4,19,14,34,48
525.51,2.0,22.43,22.54,22.44,22.17,2019,4,19,14,34,53
525.51,2.0,22.43,22.57,22.47,22.17,2019,4,19,14,34,58
530.21,2.0,22.47,22.54,22.47,22.17,2019,4,19,14,35,3
530.21,2.0,22.43,22.54,22.47,22.17,2019,4,19,14,35,8
525.51,2.0,22.43,22.54,22.47,22.17,2019,4,19,14,35,13
530.21,2.0,22.43,22.54,22.44,22.20,2019,4,19,14,35,18
520.82,2.0,22.43,22.54,22.47,22.20,2019,4,19,14,35,23
530.21,2.0,22.43,22.54,22.44,22.17,2019,4,19,14,35,28
520.82,2.0,22.47,22.57,22.44,22.17,2019,4,19,14,35,33
530.21,2.0,22.43,22.54,22.44,22.17,2019,4,19,14,35,38
520.82,2.0,22.43,22.57,22.44,22.17,2019,4,19,14,35,43
520.82,2.0,22.43,22.54,22.47,22.17,2019,4,19,14,35,48
525.51,2.0,22.43,22.57,22.47,22.17,2019,4,19,14,35,53
530.21,2.0,22.47,22.57,22.44,22.17,2019,4,19,14,35,58
525.51,2.0,22.43,22.57,22.44,22.17,2019,4,19,14,36,3
520.82,2.5,22.43,22.54,22.47,22.17,2019,4,19,14,36,8
520.82,2.5,22.43,22.54,22.47,22.20,2019,4,19,14,36,13
520.82,2.5,22.43,22.54,22.47,22.17,2019,4,19,14,36,18
520.82,2.5,22.43,22.54,22.47,22.17,2019,4,19,14,36,23
520.82,2.5,22.43,22.54,22.47,22.17,2019,4,19,14,36,28
520.82,2.5,22.43,22.57,22.44,22.17,2019,4,19,14,36,33
530.21,2.5,22.43,22.54,22.44,22.17,2019,4,19,14,36,38
525.51,2.5,22.47,22.54,22.47,22.17,2019,4,19,14,36,43
530.21,2.5,22.43,22.57,22.47,22.17,2019,4,19,14,36,48
525.51,2.5,22.43,22.57,22.44,22.20,2019,4,19,14,36,53
525.51,2.5,22.43,22.54,22.44,22.20,2019,4,19,14,36,58
525.51,2.5,22.43,22.54,22.47,22.17,2019,4,19,14,37,3
520.82,2.5,22.43,22.54,22.44,22.17,2019,4,19,14,37,8
525.51,2.5,22.43,22.54,22.44,22.17,2019,4,19,14,37,13
530.21,2.5,22.47,22.50,22.44,22.17,2019,4,19,14,37,18
525.51,2.5,22.43,22.54,22.47,22.17,2019,4,19,14,37,23
525.51,2.5,22.47,22.54,22.47,22.17,2019,4,19,14,37,28
525.51,2.5,22.43,22.54,22.47,22.20,2019,4,19,14,37,33
520.82,2.5,22.47,22.57,22.44,22.17,2019,4,19,14,37,38
525.51,2.5,22.43,22.54,22.44,22.20,2019,4,19,14,37,43
525.51,2.5,22.43,22.54,22.44,22.17,2019,4,19,14,37,48
530.21,2.5,22.43,22.54,22.47,22.17,2019,4,19,14,37,53
520.82,2.5,22.43,22.57,22.44,22.17,2019,4,19,14,37,58
520.82,2.5,22.43,22.57,22.44,22.20,2019,4,19,14,38,3
525.51,2.5,22.43,22.57,22.44,22.17,2019,4,19,14,38,8
525.51,2.5,22.43,22.57,22.47,22.17,2019,4,19,14,38,13
520.82,2.5,22.47,22.54,22.44,22.17,2019,4,19,14,38,18
520.82,2.5,22.43,22.54,22.47,22.17,2019,4,19,14,38,23
525.51,2.5,22.47,22.57,22.47,22.17,2019,4,19,14,38,28
530.21,2.5,22.43,22.57,22.47,22.17,2019,4,19,14,38,33
520.82,2.5,22.47,22.57,22.44,22.17,2019,4,19,14,38,38
520.82,2.5,22.43,22.54,22.47,22.17,2019,4,19,14,38,43
525.51,2.5,22.43,22.57,22.47,22.17,2019,4,19,14,38,48
525.51,2.5,22.43,22.57,22.44,22.17,2019,4,19,14,38,53
530.21,2.5,22.47,22.57,22.47,22.17,2019,4,19,14,38,58
525.51,2.5,22.43,22.54,22.47,22.17,2019,4,19,14,39,3
520.82,2.5,22.43,22.60,22.47,22.20,2019,4,19,14,39,8
